wm_week,Season,Seasonal_Solid_Type,store_nbr,planned_end_wk,planned_instore_wk,vendor_stk_nbr,Color,color_desc,size_desc,prime_item_nbr,upc,total_buy,store_count,pos qty,pos sales,net_ship_cost,net_ship_qty,net_ship_retail
202401,CA H2 Q4 2024 Prints,Pant,1094,202448,202440,WC725,PLRY,PLRY,3XL3TG,50154974,19466152188,3410,291,0,$0.00,0,0,0
202401,CA H2 Q4 2024 Prints,Pant,3095,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202401,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202402,CA H2 Q4 2024 Prints,Pant,1094,202448,202440,WC725,PLRY,PLRY,3XL3TG,50154974,19466152188,3410,291,0,$0.00,0,0,0
202402,CA H2 Q4 2024 Prints,Pant,3095,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202402,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202403,CA H2 Q4 2024 Prints,Pant,1094,202448,202440,WC725,PLRY,PLRY,3XL3TG,50154974,19466152188,3410,291,0,$0.00,0,0,0
202403,CA H2 Q4 2024 Prints,Pant,3095,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202403,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202404,CA H2 Q4 2024 Prints,Pant,3095,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202404,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202405,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202406,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202407,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XXLTTG,50154973,19466152187,3410,291,0,$0.00,0,0,0
202407,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XXLTTG,50362041,19466152187,3410,291,-1,($26.00),0,0,0
202407,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202407,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XL/TG,50362040,19466152192,3410,291,-1,($26.00),0,0,0
202407,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202408,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XXLTTG,50154973,19466152187,3410,291,0,$0.00,0,0,0
202408,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202408,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XXLTTG,50154973,19466152187,3410,291,0,$0.00,0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC725,PLRY,PLRY,M/M,50154970,19466152190,3410,291,0,$0.00,0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC725,PLRY,PLRY,M/M,50362033,19466152190,3410,291,-1,($5.00),0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC725,PLRY,PLRY,S/P,50154969,19466152191,3410,291,0,$0.00,0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC725,PLRY,PLRY,S/P,50362034,19466152191,3410,291,-1,($5.00),0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC728,FZOM,FZOM,M/M,50154998,19466152232,4015,300,0,$0.00,0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC728,FZOM,FZOM,M/M,50360835,19466152232,4015,300,-1,($5.00),0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC728,FZOM,FZOM,S/P,50154997,19466152233,4015,300,0,$0.00,0,0,0
202409,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC728,FZOM,FZOM,S/P,50360834,19466152233,4015,300,-1,($5.00),0,0,0
202409,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202409,CA Q2 WK19 2024 Prints,Pant,3118,202430,202419,WC728X47,TSGB,TSGB,M/M,30600915,19466142463,3438,336,-1,($26.00),0,0,0
202409,CA Q2 WK19 2024 Prints,Pant,3118,202430,202419,WC728X47,TSGB,TSGB,M/M,31751505,19466142463,3438,336,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XXLTTG,50154973,19466152187,3410,291,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC725,PLRY,PLRY,M/M,50154970,19466152190,3410,291,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC725,PLRY,PLRY,S/P,50154969,19466152191,3410,291,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,1110,202448,202440,WC728,FZOM,FZOM,L/G,50154999,19466152231,4015,300,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3046,202448,202440,WC728,FZOM,FZOM,L/G,50154999,19466152231,4015,300,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,1110,202448,202440,WC728,FZOM,FZOM,L/G,50360836,19466152231,4015,300,-1,($5.00),0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3046,202448,202440,WC728,FZOM,FZOM,L/G,50360836,19466152231,4015,300,-1,($5.00),0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC728,FZOM,FZOM,M/M,50154998,19466152232,4015,300,0,$0.00,0,0,0
202410,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC728,FZOM,FZOM,S/P,50154997,19466152233,4015,300,0,$0.00,0,0,0
202410,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202410,CA Q2 WK19 2024 Prints,Pant,3118,202430,202419,WC728X47,TSGB,TSGB,M/M,31751505,19466142463,3438,336,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XXLTTG,50154973,19466152187,3410,291,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3059,202448,202440,WC725,PLRY,PLRY,L/G,50154971,19466152189,3410,291,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3059,202448,202440,WC725,PLRY,PLRY,L/G,50362039,19466152189,3410,291,-1,($5.00),0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC725,PLRY,PLRY,M/M,50154970,19466152190,3410,291,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC725,PLRY,PLRY,S/P,50154969,19466152191,3410,291,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3659,202448,202440,WC725,PLRY,PLRY,XL/TG,50154972,19466152192,3410,291,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,1110,202448,202440,WC728,FZOM,FZOM,L/G,50154999,19466152231,4015,300,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3046,202448,202440,WC728,FZOM,FZOM,L/G,50154999,19466152231,4015,300,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3059,202448,202440,WC728,FZOM,FZOM,L/G,50154999,19466152231,4015,300,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3059,202448,202440,WC728,FZOM,FZOM,L/G,50360836,19466152231,4015,300,-1,($5.00),0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3118,202448,202440,WC728,FZOM,FZOM,M/M,50154998,19466152232,4015,300,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,5838,202448,202440,WC728,FZOM,FZOM,M/M,50360835,19466152232,4015,300,-1,($5.00),0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3164,202448,202440,WC728,FZOM,FZOM,S/P,50154997,19466152233,4015,300,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3638,202448,202440,WC728,FZOM,FZOM,S/P,50154997,19466152233,4015,300,0,$0.00,0,0,0
202411,CA H2 Q4 2024 Prints,Pant,3164,202448,202440,WC728,FZOM,FZOM,S/P,50360834,19466152233,4015,300,-1,($5.00),0,0,0
202411,CA Q2 WK19 2024 Prints,Pant,3013,202430,202419,WC728X47,TSGB,TSGB,XXLTTG,31751513,19466142460,3438,336,0,$0.00,0,0,0
202411,CA Q2 WK19 2024 Prints,Pant,3118,202430,202419,WC728X47,TSGB,TSGB,M/M,31751505,19466142463,3438,336,0,$0.00,0,0,0
202412,CA H2 Q4 2024 Prints,Pant,3015,202448,202440,WC725,PLRY,PLRY,L/G,50154971,19466152189,3410,291,0,$0.00,0,0,0
202412,CA H2 Q4 2024 Prints,Pant,3059,202448,202440,WC725,PLRY,PLRY,L/G,50154971,19466152189,3410,291,1,$26.00,0,0,0
202412,CA H2 Q4 2024 Prints,Pant,3015,202448,202440,WC725,PLRY,PLRY,L/G,50362039,19466152189,3410,291,-1,($5.00),0,0,0
