building_address,city,district_id,latitude,longitude,open_date,phone_nbr,region_id,square_footage,store_name,store_nbr,store_type_descr,street_address,zip_code
,,,,,,,,,Dummy Store,1182,,,
,,,,,,,,,Dummy Store,1214,,,
,,,,,,,,,Dummy Store,2925,,,
,,,,,,,,,Dummy Store,3174,,,
,,,,,,,,,Dummy Store,3180,,,
# 100 900 CARMICHAEL,HINTON,4,53.38368988,-117.62999725,1994-03-16 00:00:00,(780)865   -1421,1,60233,HINTON  ALBERTA,3038,BASE STR WAL-MART,# 100 900 CARMICHAEL LANE,T7V 1Y6
# 1-300 KING GEORGE,BRANTFORD,14,43.18048096,-80.27999878,1994-03-16 00:00:00,(519)759   -3450,2,146769,BRANTFORD  ONTARIO,3005,BASE STR SUPERCENTER,1-300 KING GEORGE RD,N3R 5L7
# 2 HOSPITAL ST,FORT MCMURRAY,6,56.72230911,-111.36000061,1999-01-29 00:00:00,(780)790   -6012,1,96536,FT. MCMURRAY  ALBERTA,3157,BASE STR WAL-MART,# 2 HOSPITAL ST,T9H 5E4
# 50 MARKET ST,ANTIGONISH,29,45.60832214,-62.00999832,2004-12-02 00:00:00,,4,84939,ANTIGONISH  NS,1014,BASE STR WAL-MART,# 50 MARKET ST,B2G 3B4
# 54-1225 ST MARY ',WINNIPEG,10,49.83033752,-97.11000061,1994-03-16 00:00:00,(204)256   -7027,1,157871,S. WINNIPEG  ST.VITAL CTR,3119,BASE STR SUPERCENTER,# 54-1225 ST MARY ' S RD,R2M 5E6
# 600 HWY 2,DAWSON CREEK,,55.73842621,-120.22000122,2003-11-13 00:00:00,,,87326,DAWSON CREEK  BC,5776,BASE STR SUPERCENTER,# 600 HWY 2,V1G 0A4
1 PINE DR,PARRY SOUND,16,45.34612274,-80.01000214,2005-01-25 00:00:00,,2,110127,PARRY SOUND  ON,1023,BASE STR SUPERCENTER,1 PINE DR,P2A 3C3
1 WESTMOUNT SHOPPING,EDMONTON,5,53.56091309,-113.55000305,2013-01-25 00:00:00,,1,91432,EDMONTON (WESTMOUNT),1148,BASE STR WAL-MART,1 WESTMOUNT SHOPPING CENTRE NW,T5M 3L7
10 CAMBRIDGE ST,COLLINGWOOD,15,44.49960709,-80.23999786,2006-01-19 00:00:00,,2,111243,COLLINGWOOD  ON,1039,BASE STR SUPERCENTER,10 CAMBRIDGE ST,L9Y 0A1
100 BAYSHORE DR,OTTAWA,22,45.34723663,-75.80999756,1994-03-16 00:00:00,(613)820   -8767,4,132922,BAYSHORE SHOPPING CENTRE,3066,BASE STR SUPERCENTER,100 BAYSHORE DR,K2B 8C1
100 BOUL BRIEN,REPENTIGNY,23,45.74226379,-73.45999908,1994-03-16 00:00:00,(450)654   -8886,3,149994,REPENTIGNY  QUEBEC,3079,BASE STR WAL-MART,100 BOUL BRIEN,J6A 5N4
100 BOUL OMER-MARCIL,ST-JEAN-SUR-RICHELI,25,45.33112717,-73.30000305,1994-03-16 00:00:00,(450)349   -0666,3,152860,ST JEAN  QUEBEC,3090,BASE STR SUPERCENTER,100 BOUL OMER-MARCIL,J2W 2X2
100 CITY CENTRE DR,MISSISSAUGA,17,43.59307861,-79.63999939,1994-03-16 00:00:00,(905)270   -9300,2,223438,MISSISSAUGA (SQUARE ONE),3055,BASE STR SUPERCENTER,100 CITY CENTRE DR,L5B 2G7
100 RUE DES CERISIER,RIVIERE-DU-LOUP,27,47.82126617,-69.55000305,2003-11-13 00:00:00,,3,112113,RIVIERE DU LOUP  QC,3655,BASE STR SUPERCENTER,100 RUE DES CERISIERS,G5R 6E8
100 STONEBRIDGE BLVD,WASAGA BEACH,15,44.52519608,-80,2007-07-28 00:00:00,,2,115778,WASAGA BEACH  ON,1087,BASE STR SUPERCENTER,100 STONEBRIDGE BLVD,L9Z 0C1
100 THE BOARDWALK,KITCHENER,12,43.43301392,-80.55999756,2010-11-19 00:00:00,,2,181909,WATERLOO WEST.  ON,1111,BASE STR SUPERCENTER,100 THE BOARDWALK,N2N 0B1
1000 GERRARD ST E,TORONTO,18,43.66914368,-79.33999634,2013-01-25 00:00:00,,2,62364,TORONTO DOWNTOWN (E),1150,BASE STR WAL-MART,1000 GERRARD ST E,M4M 3G6
1000 LAKESIDE DR,NELSON,3,49.49850082,-117.29000092,1994-03-16 00:00:00,(250)352   -3782,1,71762,NELSON  BRITISH COLUMBIA,3060,BASE STR WAL-MART,1000 LAKESIDE DR,V1L 5Z4
1000 NAVIGATOR RD BO,WINKLER,10,49.19534302,-97.94000244,2004-12-02 00:00:00,,1,91848,WINKLER  MB,1022,BASE STR SUPERCENTER,1000 NAVIGATOR RD BOX 1720,R6W 4B6
1000 SIMS AVE,WEYBURN,9,49.6614418,-103.87000275,2003-11-13 00:00:00,,1,64249,WEYBURN SASKATCHEWAN,5790,BASE STR WAL-MART,1000 SIMS AVE,S4H 3N9
1000 TAYLOR AVE,WINNIPEG,10,49.85330963,-97.16000366,2015-01-29 00:00:00,,1,155953,WINNIPEG (GRANT PARK),1186,BASE STR SUPERCENTER,1000 TAYLOR AVE,R3M 1T6
1001 EMPRESS ST,WINNIPEG,10,49.89681625,-97.19000244,1994-03-16 00:00:00,(204)284   -6900,1,124600,C. WINNIPEG  MANITOBA,3116,BASE STR SUPERCENTER,1001 EMPRESS ST,R3G 3P8
1001 RUE DES MIGRATE,TERREBONNE,23,45.71918488,-73.5,2008-01-23 00:00:00,,3,156863,LACHENAIE  QC,1085,BASE STR SUPERCENTER,1001 RUE DES MIGRATEURS,J6V 0A8
1002 CHEMONG RD,PETERBOROUGH,21,44.3247261,-78.33000183,1994-03-16 00:00:00,(705)742   -5090,4,180512,PETERBOROUGH  ONTARIO,3071,BASE STR SUPERCENTER,1002 CHEMONG RD,K9H 7E2
100-310 SHAWVILLE BL,CALGARY,7,50.9011116,-114.05999756,1998-11-13 00:00:00,(403)201   -5415,1,157721,S. CALGARY  ALBERTA,3151,BASE STR SUPERCENTER,100-310 SHAWVILLE BLVD S E,T2Y 3S4
100-3900 CRAWFORD AV,MERRITT,3,50.12158585,-120.75,2006-01-19 00:00:00,,1,69003,MERRITT  BC,1036,BASE STR WAL-MART,100-3900 CRAWFORD AVE,V1K 0A4
1005 BOUL LAURE UNIT,SEPT-ILES,27,50.2263298,-66.38999939,1994-03-16 00:00:00,(418)968   -5151,3,125490,SEPT ILES  QUEBEC,3085,BASE STR WAL-MART,1005 BOUL LAURE UNIT 500,G4R 4S6
1005 OTTAWA ST N,KITCHENER,12,43.44945526,-80.44000244,2012-10-19 00:00:00,,2,68161,KITCHENER EAST,1155,BASE STR WAL-MART,1005 OTTAWA ST N,N2A 1H2
101 BOUL CARDINAL-LE,PINCOURT,,45.38474274,-74,2012-10-18 00:00:00,,,73813,PINCOURT,1171,BASE STR WAL-MART,101 BOUL CARDINAL-LEGER,J7V 3Y3
101 EDGELEY BLVD,CONCORD,17,43.79693222,-79.52999878,1997-10-30 00:00:00,(905)761   -7945,2,194675,VAUGHAN  ONT,3145,BASE STR SUPERCENTER,101 EDGELEY BLVD,L4K 4Z4
