Category,wm_week,WM Year,WM Weeks,WM Month,WM Month Nbr,upc, net unit sales,net retail sales
Prints,201901,2019,1,1 February,,71660501644,3,48
Prints,201901,2019,1,1 February,,71660501645,1,16
WM.com Exclusive,201901,2019,1,1 February,,71660502192,0,0
WM.com Exclusive,201901,2019,1,1 February,,71660502193,0,0
Seasonal Solids,201901,2019,1,1 February,,71660502360,6,113
WM.com Exclusive,201901,2019,1,1 February,,71660502383,1,25
Prints,201901,2019,1,1 February,,71660502470,13,207
Prints,201901,2019,1,1 February,,71660502471,9,144
Prints,201901,2019,1,1 February,,71660502472,6,96
Prints,201901,2019,1,1 February,,71660502608,5,80
Prints,201901,2019,1,1 February,,71660502609,2,32
Prints,201901,2019,1,1 February,,71660502610,8,128
Prints,201901,2019,1,1 February,,71660502669,1,16
Prints,201901,2019,1,1 February,,71660502670,11,176
Prints,201901,2019,1,1 February,,71660502671,2,32
Prints,201901,2019,1,1 February,,71660502725,3,48
Prints,201901,2019,1,1 February,,71660502756,3,48
Prints,201901,2019,1,1 February,,71660502757,1,16
Prints,201901,2019,1,1 February,,71660502758,5,80
Prints,201901,2019,1,1 February,,71660502898,1,16
Prints,201901,2019,1,1 February,,71660502899,3,48
Prints,201901,2019,1,1 February,,71660502971,3,48
Prints,201901,2019,1,1 February,,71660502972,3,48
Prints,201901,2019,1,1 February,,71660503119,3,48
Prints,201901,2019,1,1 February,,71660503666,2,32
Prints,201901,2019,1,1 February,,71660503668,3,48
Prints,201901,2019,1,1 February,,71660503834,2,32
Prints,201901,2019,1,1 February,,71660503835,2,32
Prints,201901,2019,1,1 February,,71660503914,3,48
Prints,201901,2019,1,1 February,,71660503915,6,96
Prints,201901,2019,1,1 February,,71660503916,9,144
Prints,201901,2019,1,1 February,,71660503919,2,32
WM.com Exclusive,201901,2019,1,1 February,,71660511445,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660511448,1,25
WM.com Exclusive,201901,2019,1,1 February,,71660511526,1,10
WM.com Exclusive,201901,2019,1,1 February,,71660511591,17,162
WM.com Exclusive,201901,2019,1,1 February,,71660511594,6,57
WM.com Exclusive,201901,2019,1,1 February,,71660511595,17,162
WM.com Exclusive,201901,2019,1,1 February,,71660511596,1,10
WM.com Exclusive,201901,2019,1,1 February,,71660511598,11,105
WM.com Exclusive,201901,2019,1,1 February,,71660511599,10,95
WM.com Exclusive,201901,2019,1,1 February,,71660511600,15,143
WM.com Exclusive,201901,2019,1,1 February,,71660511601,25,238
WM.com Exclusive,201901,2019,1,1 February,,71660511602,8,76
WM.com Exclusive,201901,2019,1,1 February,,71660511603,21,200
WM.com Exclusive,201901,2019,1,1 February,,71660511604,3,29
WM.com Exclusive,201901,2019,1,1 February,,71660511624,11,105
WM.com Exclusive,201901,2019,1,1 February,,71660511626,5,48
WM.com Exclusive,201901,2019,1,1 February,,71660511640,2,19
WM.com Exclusive,201901,2019,1,1 February,,71660511641,5,48
WM.com Exclusive,201901,2019,1,1 February,,71660511642,-1,-10
WM.com Exclusive,201901,2019,1,1 February,,71660511643,2,19
WM.com Exclusive,201901,2019,1,1 February,,71660511644,3,29
WM.com Exclusive,201901,2019,1,1 February,,71660511662,6,57
WM.com Exclusive,201901,2019,1,1 February,,71660511664,1,10
WM.com Exclusive,201901,2019,1,1 February,,71660511665,1,10
WM.com Exclusive,201901,2019,1,1 February,,71660511666,2,19
WM.com Exclusive,201901,2019,1,1 February,,71660511667,2,19
WM.com Exclusive,201901,2019,1,1 February,,71660511668,2,19
WM.com Exclusive,201901,2019,1,1 February,,71660511760,10,95
WM.com Exclusive,201901,2019,1,1 February,,71660511761,7,67
WM.com Exclusive,201901,2019,1,1 February,,71660511763,8,76
WM.com Exclusive,201901,2019,1,1 February,,71660511816,11,105
WM.com Exclusive,201901,2019,1,1 February,,71660511819,59,561
WM.com Exclusive,201901,2019,1,1 February,,71660511820,62,589
WM.com Exclusive,201901,2019,1,1 February,,71660511835,9,86
WM.com Exclusive,201901,2019,1,1 February,,71660511836,5,48
WM.com Exclusive,201901,2019,1,1 February,,71660511837,1,10
WM.com Exclusive,201901,2019,1,1 February,,71660511841,11,105
WM.com Exclusive,201901,2019,1,1 February,,71660511842,4,38
