Segment,Brand,Collection,commodity_code,commodity_group,secondary_salesrep_name,primary_fullname,cust_store_id,cust_id,cust_name,fabric_content,final_subbrand,first_season,Garment Type,style_status,style_id,Color,Color Type,style_description,alternate_style_description
Walmart,.Com,Others,X,,,,,,,,,,Others,,,Others,Others,,
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2015 April (Summer 2015),Polo Shirt,Discontinued,68322,RHUN,Solid,Real School Youth Unisex S/s Pique Polo,Unisex S/S Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RBLK,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RBUR,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RHUN,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RLTB,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RNVY,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RRED,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RROY,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Polo Shirt,Discontinued,68114,RWHT,Solid,Short Sleeve Pique Polo,SS Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Top,Discontinued,68112,RBLK,Solid,Short Sleeve Pique Polo, S/S Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Top,Discontinued,68112,RBUR,Solid,Short Sleeve Pique Polo, S/S Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Top,Discontinued,68112,RHUN,Solid,Short Sleeve Pique Polo, S/S Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Top,Discontinued,68112,RLTB,Solid,Short Sleeve Pique Polo, S/S Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Top,Discontinued,68112,RNVY,Solid,Short Sleeve Pique Polo, S/S Pique Polo
Walmart,.Com,School-Real School,FSRS,CLSRM,WM Medical House,WM Medical House,HOME,WALCOM,Walmart.com,60% Cotton / 40% Polyester Knit,Real School,2018 January (Spring 2018),Top,Discontinued,68112,RRED,Solid,Short Sleeve Pique Polo, S/S Pique Polo
